word,category,guesses_used,guesses_allowed,won,wrong_letters
lynx,,6,4,True,a
lynx,,6,4,True,e
lynx,,6,4,True,i
lynx,,6,4,True,o
lynx,,6,4,True,u
lynx,,6,4,True,y
lynx,,6,4,True,l
lynx,,6,4,True,g
lynx,,6,4,True,x
lynx,,6,4,True,n
narwhal,,1,9,False,ai
zebra,,1,9,False,ae
zebra,,1,9,False,e
eclaire,,0,10,False,
atv,,0,10,False,
parfait,,4,6,True,a
parfait,,4,6,True,i
parfait,,4,6,True,o
parfait,,4,6,True,m
parfait,,4,6,True,n
parfait,,4,6,True,t
parfait,,4,6,True,r
parfait,,4,6,True,w
parfait,,4,6,True,p
parfait,,4,6,True,f
waistcoat,,2,8,True,a
waistcoat,,2,8,True,e
waistcoat,,2,8,True,i
waistcoat,,2,8,True,o
waistcoat,,2,8,True,u
waistcoat,,2,8,True,c
waistcoat,,2,8,True,t
waistcoat,,2,8,True,s
waistcoat,,2,8,True,w
fiesta,,2,8,True,a
fiesta,,2,8,True,e
fiesta,,2,8,True,i
fiesta,,2,8,True,o
fiesta,,2,8,True,u
fiesta,,2,8,True,t
fiesta,,2,8,True,s
fiesta,,2,8,True,f
plaza,,4,6,True,a
plaza,,4,6,True,e
plaza,,4,6,True,i
plaza,,4,6,True,o
plaza,,4,6,True,u
plaza,,4,6,True,z
plaza,,4,6,True,l
plaza,,4,6,True,p
narwhal,,0,10,False,a
gesundheit,,1,9,False,a
gesundheit,,1,9,False,a
gesundheit,,1,9,False,e
safari,,10,0,False,a
safari,,10,0,False,e
safari,,10,0,False,i
safari,,10,0,False,o
safari,,10,0,False,u
safari,,10,0,False,z
safari,,10,0,False,r
safari,,10,0,False,f
safari,,10,0,False,p
safari,,10,0,False,q
safari,,10,0,False,w
safari,,10,0,False,t
safari,,10,0,False,y
safari,,10,0,False,m
limousine,,10,0,False,a
limousine,,10,0,False,e
limousine,,10,0,False,i
limousine,,10,0,False,o
limousine,,10,0,False,u
limousine,,10,0,False,z
limousine,,10,0,False,x
limousine,,10,0,False,c
limousine,,10,0,False,v
limousine,,10,0,False,b
limousine,,10,0,False,n
limousine,,10,0,False,m
limousine,,10,0,False,q
limousine,,10,0,False,w
limousine,,10,0,False,r
limousine,,10,0,False,t
campervan,,5,5,True,a
campervan,,5,5,True,e
campervan,,5,5,True,i
campervan,,5,5,True,o
campervan,,5,5,True,u
campervan,,5,5,True,y
campervan,,5,5,True,z
campervan,,5,5,True,n
campervan,,5,5,True,c
campervan,,5,5,True,m
campervan,,5,5,True,p
campervan,,5,5,True,r
campervan,,5,5,True,v
pants,,8,2,True,e
pants,,8,2,True,a
pants,,8,2,True,i
pants,,8,2,True,u
pants,,8,2,True,o
pants,,8,2,True,y
pants,,8,2,True,t
pants,,8,2,True,s
pants,,8,2,True,r
pants,,8,2,True,f
pants,,8,2,True,c
pants,,8,2,True,p
pants,,8,2,True,n
cufflinks,,10,0,False,a
cufflinks,,10,0,False,e
cufflinks,,10,0,False,i
cufflinks,,10,0,False,o
cufflinks,,10,0,False,u
cufflinks,,10,0,False,y
cufflinks,,10,0,False,t
cufflinks,,10,0,False,s
cufflinks,,10,0,False,h
cufflinks,,10,0,False,r
cufflinks,,10,0,False,n
cufflinks,,10,0,False,p
cufflinks,,10,0,False,b
cufflinks,,10,0,False,w
cookie,,6,4,True,s
cookie,,6,4,True,e
cookie,,6,4,True,t
cookie,,6,4,True,a
cookie,,6,4,True,i
cookie,,6,4,True,o
cookie,,6,4,True,r
cookie,,6,4,True,m
cookie,,6,4,True,c
cookie,,6,4,True,j
cookie,,6,4,True,k
atv,,3,7,True,e
atv,,3,7,True,a
atv,,3,7,True,i
atv,,3,7,True,t
atv,,3,7,True,m
atv,,3,7,True,v
octopus,animal,8,2,True,e
octopus,animal,8,2,True,a
octopus,animal,8,2,True,i
octopus,animal,8,2,True,o
octopus,animal,8,2,True,r
octopus,animal,8,2,True,s
octopus,animal,8,2,True,c
octopus,animal,8,2,True,t
octopus,animal,8,2,True,p
octopus,animal,8,2,True,u
convertible,,7,3,True,a
convertible,,7,3,True,e
convertible,,7,3,True,i
convertible,,7,3,True,o
convertible,,7,3,True,u
convertible,,7,3,True,y
convertible,,7,3,True,t
convertible,,7,3,True,s
convertible,,7,3,True,l
convertible,,7,3,True,p
convertible,,7,3,True,r
convertible,,7,3,True,g
convertible,,7,3,True,b
convertible,,7,3,True,q
convertible,,7,3,True,c
convertible,,7,3,True,v
convertible,,7,3,True,n
